player_id,full_name,headshot_url,gpt4o,claude,gemini,majority,gpt4o_raw,claude_raw,gemini_raw,error
00-0025399,Marshawn Lynch,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ddhpebfqtr9yxsnbx9ht",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025394,Adrian Peterson,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025418,Greg Olsen,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k6v0zo7ofhdmmqmqtwc5",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025580,Mason Crosby,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/usbwgcjsdcugjafgjzvt",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025446,Ryan Kalil,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ukuv7atmhwaudnccmfto",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025396,Ted Ginn,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o4m4txrv9l7odyebnea4",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025472,Brandon Mebane,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/odajsobuczo0mvyzczsi",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025430,Drew Stanton,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/di5hc0mwbomreqx7ojbu",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025708,Matt Moore,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vvecjwtr5i98duzifmtu",,latino,latino,latino,,Latino,Latino,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025630,Clark Harris,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uzlssqn1cw3yxntldmhy",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025825,Brett Kern,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dbph1kuozunx3aorpeiw",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025900,Chris Clark,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gq8chodrri9zkixomlat",,,black,black,,I can't help with categorizing or inferring,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026143,Matt Ryan,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026156,Dominique Rodgers-Cromartie,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sjq1mh1dhbriamgcqoim",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0025828,Wesley Woodyard,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hxzc1j5paqvtmufh5jim",,,black,black,,,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84; claude:RateLimitError:Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_erro"
00-0025944,Stephen Hauschka,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dx2dsdejdbqrjltnkstm",,white,white,white,,white,white,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026160,Aqib Talib,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yxot5c0z1duos6w3wunm",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026035,Danny Amendola,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",,,white,white,,,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84; claude:RateLimitError:Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_erro"
00-0023459,Aaron Rodgers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026166,Duane Brown,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oo4wdp0wxeyowhqtbor9",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026197,Chad Henne,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ornr9pcnzveqlntqc7jx",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026189,DeSean Jackson,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pr5m864fqvnoozihylrh",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023853,Matt Prater,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pj981bi535y4jwy6skr1",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026280,Brandon Carr,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ahnxascuttpx7ce28twy",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026516,Britton Colquitt,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/daujufaxsde6k6yj2ph1",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026544,Chase Daniel,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jt8fvgeyuhsbpo9m9t4x",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026618,Michael Bennett,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvuywnsbnvpvu8k27mmq",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026564,Steve McLendon,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0l6ltdi7h2dtahm3xh",,,black,black,,,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84; claude:RateLimitError:Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_erro"
00-0025565,Nick Folk,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcfiv2cc7ky37yq9iklp",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026714,Nick Sundberg,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gmp2ewfbu7hntgugz5vr",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024243,Marcedes Lewis,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",,,black,black,,,Black,"claude:BadRequestError:Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5970760 bytes > 5242880; gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o"
00-0026814,Demar Dotson,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pvrj1vuiqqogiqwo5y52",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026762,Alex Boone,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sckg9o35cdeumkdim6de",,,black,black,,I can't help with identifying or classifying someone,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026844,Garrison Sanborn,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hf5lgpcdcidclrjmppfy",,,white,white,,,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84; claude:RateLimitError:Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_erro"
00-0026950,A.Q. Shipley,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/df2cw9hh00iloruvgd6h",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026858,Graham Gano,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wp5wochy7uuqcgyjcrrd",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026964,Clinton McDonald,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w5ifm5yk23wn8tccsnk8",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026027,J.J. Jansen,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vmbidsuvur7zfmpt9xak",,,white,white,,,White,"claude:BadRequestError:Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5743860 bytes > 5242880; gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o"
00-0026982,Andre Smith,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dg8hzv2uomztyyaddgnn",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026158,Joe Flacco,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",,,white,white,,,White,"claude:BadRequestError:Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5530080 bytes > 5242880; gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o"
00-0026968,Ryan Succop,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sbdymbap2wadw2jbey6w",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026997,Alex Mack,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ebzxqyz5e7h7wrszr5vn",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026190,Calais Campbell,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026293,Matt Slater,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cs1ojdzhxjuanbw6vflv",,,black,black,,,Black,"claude:BadRequestError:Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5725196 bytes > 5242880; gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o"
00-0027061,Jared Cook,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cthoenebptadlu4g928v",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026990,Malcolm Jenkins,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mbjf9xp0ilh4vbbwyzwi",,,black,black,,,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84; claude:RateLimitError:Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_erro"
00-0026300,Josh Johnson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay",,,black,black,,,Black,"claude:BadRequestError:Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5294792 bytes > 5242880; gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o"
00-0026625,Brian Hoyer,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/japt3mj2xctm7saqndxn",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0026498,Matthew Stafford,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",,,white,white,,,White,"claude:BadRequestError:Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 6154216 bytes > 5242880; gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o"
